t,x1(t),x2(t),v1(t),v2(t),p1(t),p2(t),F1(t),F2(t)
1.879999,1.748399,-10,1.859999,0,3.719998,0,1.978723,0
1.899999,1.785999,-10,1.879999,0,3.759998,0,1.978947,0
1.919999,1.823999,-10,1.899999,0,3.799998,0,1.979167,0
1.939999,1.862399,-10,1.919999,0,3.839998,0,1.979381,0
1.959999,1.901199,-10,1.939999,0,3.879997,0,1.979592,0
1.979999,1.940399,-10,1.959999,0,3.919997,0,1.979798,0
1.999999,1.979999,-10,1.979999,0,3.959997,0,1.98,0
2.019999,2.019999,-10,1.999999,0,3.999997,0,1.980198,0
2.039999,2.060399,-10,2.019999,0,4.039998,0,1.980392,0
2.059999,2.100799,-10,2.019999,0,4.039998,0,1.961165,0
2.079999,2.141199,-10,2.019999,0,4.039998,0,1.942308,0
2.099999,2.181599,-10,2.019999,0,4.039998,0,1.92381,0
2.119999,2.221999,-10,2.019999,0,4.039998,0,1.90566,0
2.139999,2.262399,-10,2.019999,0,4.039998,0,1.887851,0
2.159999,2.302799,-10,2.019999,0,4.039998,0,1.87037,0
2.179999,2.343199,-10,2.019999,0,4.039998,0,1.853211,0
2.199999,2.383599,-10,2.019999,0,4.039998,0,1.836364,0
2.219999,2.423999,-10,2.019999,0,4.039998,0,1.81982,0
2.239999,2.464399,-10,2.019999,0,4.039998,0,1.803571,0
2.259999,2.504799,-10,2.019999,0,4.039998,0,1.787611,0
2.279999,2.545199,-10,2.019999,0,4.039998,0,1.77193,0
2.299999,2.585599,-10,2.019999,0,4.039998,0,1.756522,0
2.319999,2.625999,-10,2.019999,0,4.039998,0,1.741379,0
2.339998,2.666399,-10,2.019999,0,4.039998,0,1.726496,0
2.359998,2.7068,-10,2.019999,0,4.039998,0,1.711864,0
2.379998,2.7472,-10,2.019999,0,4.039998,0,1.697479,0
2.399998,2.7876,-10,2.019999,0,4.039998,0,1.683333,0
2.419998,2.828,-10,2.019999,0,4.039998,0,1.669422,0
2.439998,2.8684,-10,2.019999,0,4.039998,0,1.655738,0
2.459998,2.9088,-10,2.019999,0,4.039998,0,1.642277,0
2.479998,2.9492,-10,2.019999,0,4.039998,0,1.629032,0
2.499998,2.9896,-10,2.019999,0,4.039998,0,1.616,0
2.519998,3.03,-10,2.019999,0,4.039998,0,1.603175,0
2.539998,3.0704,-10,2.019999,0,4.039998,0,1.590551,0
2.559998,3.1108,-10,2.019999,0,4.039998,0,1.578125,0
2.579998,3.1512,-10,2.019999,0,4.039998,0,1.565892,0
2.599998,3.1916,-10,2.019999,0,4.039998,0,1.553846,0
2.619998,3.232,-10,2.019999,0,4.039998,0,1.541985,0
2.639998,3.2724,-10,2.019999,0,4.039998,0,1.530303,0
2.659998,3.3128,-10,2.019999,0,4.039998,0,1.518797,0
2.679998,3.3532,-10,2.019999,0,4.039998,0,1.507463,0
2.699998,3.3936,-10,2.019999,0,4.039998,0,1.496296,0
2.719998,3.434,-10,2.019999,0,4.039998,0,1.485294,0
2.739998,3.4744,-10,2.019999,0,4.039998,0,1.474453,0
2.759998,3.5148,-10,2.019999,0,4.039998,0,1.463768,0
2.779998,3.5552,-10,2.019999,0,4.039998,0,1.453238,0
2.799998,3.5956,-10,2.019999,0,4.039998,0,1.442857,0
