t,x1(t),x2(t),y1(t),y2(t),def(t)
0.0199999995529652,-8.98367309570313,-10.4836492538452,0.750000059604645,0.750000059604645,0
0.0399999991059303,-9.00426197052002,-10.5042381286621,0.750071823596954,0.750071823596954,0.00343150684677025
0.0599999986588955,-9.02471828460693,-10.5246181488037,0.750213623046875,0.750213623046875,0.00684100166700148
0.0799999982118607,-9.04496192932129,-10.544846534729,0.750423669815063,0.750423669815063,0.0102151712005462
0.0999999940395355,-9.06500625610352,-10.5648880004883,0.750699937343597,0.750699937343597,0.0135562779036355
0.11999998986721,-9.08484649658203,-10.5847272872925,0.751040399074554,0.751040399074554,0.0168635593303664
0.139999985694885,-9.10447311401367,-10.6043539047241,0.751442849636078,0.751442849636078,0.0201354576536776
0.15999998152256,-9.12387657165527,-10.6237573623657,0.751905024051666,0.751905024051666,0.0233704115935888
0.179999977350235,-9.14304637908936,-10.6429271697998,0.752424478530884,0.752424478530884,0.0265666985027248
0.19999997317791,-9.16197395324707,-10.6618547439575,0.75299870967865,0.75299870967865,0.0297229136096008
0.219999969005585,-9.18065071105957,-10.68053150177,0.753625214099884,0.753625214099884,0.0328376430990896
0.23999996483326,-9.19906711578369,-10.6989479064941,0.754301309585571,0.754301309585571,0.035909313104464
0.259999960660934,-9.21721458435059,-10.717095375061,0.755024254322052,0.755024254322052,0.0389365150451572
0.279999971389771,-9.23508453369141,-10.7349653244019,0.755791306495667,0.755791306495667,0.0419178204497044
0.299999982118607,-9.25266933441162,-10.7525501251221,0.75659966468811,0.75659966468811,0.0448519719896916
0.319999992847443,-9.2699613571167,-10.7698421478271,0.757446467876434,0.757446467876434,0.0477377040186715
0.340000003576279,-9.28695297241211,-10.7868337631226,0.758328795433044,0.758328795433044,0.050573748387002
0.360000014305115,-9.30363655090332,-10.8035173416138,0.759243667125702,0.759243726730347,0.0533588260644571
0.380000025033951,-9.32000541687012,-10.8198862075806,0.760188221931458,0.760188221931458,0.0560918305160046
0.400000035762787,-9.33605194091797,-10.8359327316284,0.761159420013428,0.761159420013428,0.0587714819451254
0.420000046491623,-9.35177040100098,-10.8516511917114,0.762154281139374,0.762154281139374,0.0613968149128556
0.440000057220459,-9.36715412139893,-10.8670349121094,0.763169825077057,0.763169825077057,0.0639667124406263
0.460000067949295,-9.38219738006592,-10.8820781707764,0.764203011989594,0.764203011989594,0.0664802043493084
0.480000078678131,-9.39689350128174,-10.8967742919922,0.76525092124939,0.76525092124939,0.0689361644350186
0.500000059604645,-9.41123676300049,-10.9111175537109,0.766310572624207,0.766310572624207,0.0713336174521853
0.520000040531158,-9.42522239685059,-10.925103187561,0.76737904548645,0.76737904548645,0.0736717498109596
0.540000021457672,-9.43884468078613,-10.9387254714966,0.768453359603882,0.768453359603882,0.07594959944049
0.560000002384186,-9.45209884643555,-10.951979637146,0.769530653953552,0.769530713558197,0.0781663312541346
0.579999983310699,-9.46497917175293,-10.9648599624634,0.770608127117157,0.770608127117157,0.0803209731624341
0.599999964237213,-9.47748184204102,-10.9773626327515,0.771682918071747,0.771682918071747,0.0824128688576533
0.619999945163727,-9.48960208892822,-10.9894828796387,0.772752285003662,0.772752285003662,0.0844411955997914
0.63999992609024,-9.50133609771729,-11.0012168884277,0.773813486099243,0.773813486099243,0.0864052803407198
0.659999907016754,-9.51267910003662,-11.0125598907471,0.774863839149475,0.774863839149475,0.0883043102033845
0.679999887943268,-9.52362728118896,-11.0235080718994,0.775900781154633,0.775900781154633,0.0901376157905737
0.699999868869781,-9.53417778015137,-11.0340585708618,0.776921808719635,0.77692174911499,0.0919046842023426
0.719999849796295,-9.54432582855225,-11.0442066192627,0.777924358844757,0.777924358844757,0.0936046989558639
0.739999830722809,-9.55406856536865,-11.0539503097534,0.778906106948853,0.778906106948853,0.0952371368623104
0.759999811649323,-9.56340408325195,-11.0632848739624,0.779864728450775,0.779864728450775,0.0968016691187619
0.779999792575836,-9.57232761383057,-11.072208404541,0.780797958374023,0.780797958374023,0.0982974533690873
0.79999977350235,-9.58083629608154,-11.080717086792,0.781703650951385,0.781703650951385,0.0997239854176568
0.819999754428864,-9.58892822265625,-11.0888090133667,0.782579720020294,0.782579720020294,0.101080926543057
0.839999735355377,-9.59660053253174,-11.0964813232422,0.783424139022827,0.783424139022827,0.102367755071825
0.859999716281891,-9.60385131835938,-11.1037321090698,0.784235060214996,0.784235060214996,0.103584122375122
0.879999697208405,-9.61067771911621,-11.1105585098267,0.785010635852814,0.785010635852814,0.104729537543206
0.899999678134918,-9.61707782745361,-11.1169586181641,0.785749197006226,0.785749197006226,0.105803642591175
0.919999659061432,-9.62304973602295,-11.1229305267334,0.786449074745178,0.786449074745178,0.106806086902615
0.939999639987946,-9.6285924911499,-11.1284732818604,0.787108838558197,0.787108778953552,0.107736702879499
0.959999620914459,-9.63370323181152,-11.133584022522,0.787726938724518,0.787726998329163,0.108594972411447
0.979999601840973,-9.6383810043335,-11.1382617950439,0.78830224275589,0.78830224275589,0.109380727326957
0.999999582767487,-9.6426248550415,-11.142505645752,0.788833439350128,0.788833439350128,0.110093773283974
1.01999962329865,-9.64643287658691,-11.1463136672974,0.789319455623627,0.789319455623627,0.110733774821421
1.03999960422516,-9.64980411529541,-11.1496849060059,0.789759278297424,0.789759278297424,0.111300554356985
1.05999958515167,-9.65273761749268,-11.1526184082031,0.790152072906494,0.790152072906494,0.111793942985407
1.07999956607819,-9.65523242950439,-11.1551132202148,0.790497064590454,0.790497064590454,0.112213753946832
