t,x(t),v(t),p(t),F(t)
0.02,0,0,0,0
0.04,0.0003999999,0.02,0.04,0.9999999
0.06,0.0012,0.04,0.07999999,1.333333
0.08,0.0024,0.05999999,0.12,1.5
0.09999999,0.003999999,0.07999999,0.16,1.6
0.12,0.005999999,0.09999999,0.2,1.666667
0.14,0.008399999,0.12,0.24,1.714286
0.16,0.0112,0.14,0.28,1.75
0.18,0.0144,0.16,0.32,1.777778
0.2,0.018,0.18,0.36,1.8
0.22,0.022,0.2,0.3999999,1.818182
0.24,0.0264,0.22,0.4399999,1.833333
0.26,0.0312,0.24,0.4799999,1.846154
0.28,0.03639999,0.26,0.5199999,1.857143
0.3,0.04199999,0.28,0.5599999,1.866667
0.32,0.04799999,0.3,0.6,1.875
0.34,0.05439999,0.32,0.64,1.882353
0.36,0.06119999,0.34,0.68,1.888889
0.38,0.0684,0.36,0.72,1.894737
0.4,0.076,0.38,0.7600001,1.9
0.42,0.084,0.4,0.8000001,1.904762
0.4400001,0.0924,0.42,0.8400001,1.909091
0.4600001,0.1012,0.4400001,0.8800001,1.913043
0.4800001,0.1104,0.4600001,0.9200001,1.916667
0.5000001,0.12,0.4800001,0.9600002,1.92
0.52,0.13,0.5000001,1,1.923077
0.54,0.1404,0.52,1.04,1.925926
0.56,0.1512,0.54,1.08,1.928571
0.58,0.1624,0.56,1.12,1.931035
0.6,0.174,0.58,1.16,1.933333
0.6199999,0.186,0.6,1.2,1.935484
0.6399999,0.1984,0.6199999,1.24,1.9375
0.6599999,0.2112,0.6399999,1.28,1.939394
0.6799999,0.2244,0.6599999,1.32,1.941177
0.6999999,0.238,0.6799999,1.36,1.942857
0.7199998,0.252,0.6999999,1.4,1.944445
0.7399998,0.2664,0.7199998,1.44,1.945946
0.7599998,0.2812,0.7399998,1.48,1.947369
0.7799998,0.2964,0.7599998,1.52,1.948718
0.7999998,0.3119999,0.7799998,1.56,1.95
0.8199998,0.3279999,0.7999998,1.6,1.95122
0.8399997,0.3443999,0.8199998,1.64,1.952381
0.8599997,0.3611999,0.8399997,1.679999,1.953488
0.8799997,0.3783999,0.8599997,1.719999,1.954545
0.8999997,0.3959999,0.8799997,1.759999,1.955556
0.9199997,0.4139999,0.8999997,1.799999,1.956522
0.9399996,0.4323999,0.9199997,1.839999,1.957447
0.9599996,0.4511999,0.9399996,1.879999,1.958333
0.9799996,0.4703999,0.9599996,1.919999,1.959184
0.9999996,0.4899999,0.9799996,1.959999,1.96
1.02,0.5099999,0.9999996,1.999999,1.960784
1.04,0.5303999,1.02,2.039999,1.961538
1.06,0.5511999,1.04,2.079999,1.962264
1.08,0.5723999,1.06,2.119999,1.962963
1.1,0.5939999,1.08,2.159999,1.963636
1.12,0.6159999,1.1,2.199999,1.964286
1.14,0.6383998,1.12,2.239999,1.964912
1.159999,0.6611998,1.14,2.279999,1.965517
1.179999,0.6843998,1.159999,2.319999,1.966102
1.199999,0.7079998,1.179999,2.359999,1.966667
1.219999,0.7319998,1.199999,2.399999,1.967213
1.239999,0.7563998,1.219999,2.439999,1.967742
1.259999,0.7811998,1.239999,2.479999,1.968254
1.279999,0.8063998,1.259999,2.519999,1.96875
1.299999,0.8319998,1.279999,2.559999,1.969231
1.319999,0.8579997,1.299999,2.599999,1.969697
