t,z(t),v(t),F(t) (added)
2.639998,2.755619,1.574466,-275.5619
2.659998,2.786006,1.519354,-278.6006
2.679998,2.815279,1.463634,-281.5279
2.699998,2.843426,1.407328,-284.3426
2.719998,2.870435,1.35046,-287.0435
2.739998,2.896296,1.293051,-289.6296
2.759998,2.920998,1.235125,-292.0998
2.779998,2.944532,1.176705,-294.4532
2.799998,2.966889,1.117815,-296.6889
2.819998,2.988058,1.058477,-298.8058
2.839998,3.008032,0.9987156,-300.8032
2.859998,3.026803,0.938555,-302.6804
2.879998,3.044364,0.8780189,-304.4364
2.899998,3.060707,0.8171316,-306.0706
2.919998,3.075825,0.7559175,-307.5825
2.939998,3.089713,0.694401,-308.9713
2.959998,3.102365,0.6326067,-310.2365
2.979998,3.113776,0.5705594,-311.3777
2.999998,3.123942,0.5082839,-312.3942
3.019998,3.132858,0.4458051,-313.2858
3.039998,3.140521,0.3831479,-314.0521
3.059998,3.146928,0.3203375,-314.6928
3.079998,3.152076,0.2573989,-315.2076
3.099998,3.155963,0.1943574,-315.5963
3.119998,3.158588,0.1312381,-315.8588
3.139998,3.159949,0.06806637,-315.9949
3.159998,3.160047,0.004867391,-316.0047
3.179998,3.15888,-0.05833354,-315.888
3.199998,3.15645,-0.1215111,-315.645
3.219998,3.152757,-0.1846401,-315.2757
3.239998,3.147803,-0.2476953,-314.7803
3.259998,3.14159,-0.3106513,-314.159
3.279998,3.13412,-0.3734831,-313.412
3.299998,3.125397,-0.4361655,-312.5397
3.319998,3.115424,-0.4986734,-311.5424
3.339998,3.104204,-0.5609819,-310.4204
3.359998,3.091743,-0.623066,-309.1743
3.379997,3.078044,-0.6849009,-307.8044
3.399997,3.063115,-0.7464617,-306.3115
3.419997,3.046961,-0.8077241,-304.696
3.439997,3.029587,-0.8686633,-302.9587
3.459997,3.011002,-0.929255,-301.1002
3.479997,2.991213,-0.9894751,-299.1212
3.499997,2.970227,-1.049299,-297.0226
3.519997,2.948052,-1.108704,-294.8052
3.539997,2.924699,-1.167665,-292.4699
3.559997,2.900176,-1.226159,-290.0176
3.579997,2.874493,-1.284162,-287.4493
3.599997,2.84766,-1.341652,-284.766
3.619997,2.819687,-1.398605,-281.9688
3.639997,2.790587,-1.454999,-279.0587
3.659997,2.760371,-1.510811,-276.0371
3.679997,2.729051,-1.566018,-272.9051
3.699997,2.696639,-1.620599,-269.6639
3.719997,2.663148,-1.674532,-266.3148
3.739997,2.628592,-1.727795,-262.8592
3.759997,2.592985,-1.780367,-259.2985
3.779997,2.55634,-1.832227,-255.634
3.799997,2.518673,-1.883354,-251.8673
3.819997,2.479999,-1.933727,-247.9999
3.839997,2.440332,-1.983327,-244.0332
3.859997,2.399689,-2.032134,-239.9689
3.879997,2.358087,-2.080127,-235.8087
3.899997,2.315541,-2.127289,-231.5541
3.919997,2.272069,-2.1736,-227.2069
3.939997,2.227688,-2.219042,-222.7688
3.959997,2.182416,-2.263595,-218.2416
3.979997,2.136271,-2.307244,-213.6271
3.999997,2.089272,-2.349969,-208.9272
4.019997,2.041437,-2.391754,-204.1437
4.039997,1.992785,-2.432583,-199.2785
4.059997,1.943336,-2.472439,-194.3336
4.079997,1.89311,-2.511306,-189.311
4.099997,1.842127,-2.549168,-184.2127
4.119997,1.790407,-2.58601,-179.0407
4.139997,1.73797,-2.621819,-173.797
4.159997,1.684839,-2.656578,-168.4839
4.179997,1.631033,-2.690275,-163.1033
4.199997,1.576575,-2.722895,-157.6575
4.219997,1.521487,-2.754427,-152.1487
4.239997,1.46579,-2.784857,-146.579
4.259997,1.409506,-2.814173,-140.9506
4.279997,1.352659,-2.842363,-135.2659
4.299997,1.295271,-2.869416,-129.5271
4.319997,1.237364,-2.895321,-123.7364
4.339997,1.178963,-2.920069,-117.8963
4.359997,1.12009,-2.943648,-112.009
4.379997,1.060769,-2.96605,-106.0769
4.399997,1.001024,-2.987265,-100.1024
4.419997,0.9408779,-3.007286,-94.08779
4.439997,0.8803558,-3.026103,-88.03558
4.459997,0.8194816,-3.04371,-81.94816
4.479997,0.7582796,-3.0601,-75.82796
4.499997,0.6967743,-3.075266,-69.67743
4.519997,0.6349903,-3.089201,-63.49903
4.539997,0.5729523,-3.101901,-57.29523
4.559997,0.5106851,-3.11336,-51.06851
4.579997,0.4482136,-3.123574,-44.82136
4.599997,0.3855628,-3.132538,-38.55628
4.619997,0.3227578,-3.140249,-32.27578
4.639997,0.2598237,-3.146704,-25.98237
4.659997,0.1967857,-3.151901,-19.67857
4.679996,0.133669,-3.155837,-13.3669
4.699996,0.07049879,-3.15851,-7.049879
4.719996,0.007300384,-3.15992,-0.7300384
4.739996,-0.05590094,-3.160066,5.590094
4.759996,-0.1190799,-3.158948,11.90799
4.779996,-0.1822112,-3.156567,18.22112
4.799996,-0.2452697,-3.152922,24.52697
4.819996,-0.30823,-3.148017,30.823
4.839996,-0.371067,-3.141852,37.1067
4.859996,-0.4337557,-3.134431,43.37557
4.879996,-0.4962708,-3.125756,49.62708
4.899996,-0.5585874,-3.115831,55.85874
4.919996,-0.6206806,-3.104659,62.06806
4.939996,-0.6825255,-3.092245,68.25255
4.959996,-0.7440974,-3.078595,74.40974
4.979996,-0.8053716,-3.063713,80.53716
4.999996,-0.8663238,-3.047606,86.63238
5.019996,-0.9269294,-3.030279,92.69293
5.039996,-0.9871641,-3.011741,98.71642
5.059996,-1.047004,-2.991997,104.7004
5.079996,-1.106425,-2.971057,110.6425
5.099996,-1.165404,-2.948929,116.5404
5.119996,-1.223916,-2.925621,122.3916
5.139996,-1.281939,-2.901142,128.1939
5.159996,-1.339449,-2.875504,133.9449
5.179996,-1.396423,-2.848715,139.6423
5.199996,-1.452839,-2.820786,145.2839
5.219996,-1.508674,-2.791729,150.8674
5.239996,-1.563905,-2.761556,156.3905
5.259996,-1.61851,-2.730278,161.851
5.279996,-1.672469,-2.697908,167.2469
5.299996,-1.725758,-2.664458,172.5758
5.319996,-1.778357,-2.629943,177.8357
5.339996,-1.830244,-2.594376,183.0244
5.359996,-1.8814,-2.557771,188.14
5.379996,-1.931802,-2.520143,193.1802
5.399996,-1.981433,-2.481507,198.1432
5.419996,-2.03027,-2.441879,203.027
5.439996,-2.078295,-2.401273,207.8295
5.459996,-2.12549,-2.359707,212.549
5.479996,-2.171834,-2.317198,217.1834
5.499996,-2.217309,-2.273761,221.7309
5.519996,-2.261897,-2.229415,226.1897
5.539996,-2.305581,-2.184177,230.5581
5.559996,-2.348342,-2.138065,234.8342
5.579996,-2.390164,-2.091098,239.0164
5.599996,-2.43103,-2.043295,243.103
5.619996,-2.470923,-1.994674,247.0923
5.639996,-2.509829,-1.945256,250.9828
5.659996,-2.54773,-1.895059,254.773
5.679996,-2.584612,-1.844105,258.4612
5.699996,-2.62046,-1.792413,262.046
5.719995,-2.65526,-1.740003,265.526
5.739995,-2.688998,-1.686898,268.8998
5.759995,-2.72166,-1.633118,272.166
5.779995,-2.753234,-1.578685,275.3234
5.799995,-2.783707,-1.52362,278.3707
5.819995,-2.813066,-1.467946,281.3065
5.839995,-2.841299,-1.411685,284.1299
5.859995,-2.868397,-1.354859,286.8397
5.879995,-2.894346,-1.297491,289.4346
5.899995,-2.919138,-1.239604,291.9138
5.919995,-2.942763,-1.181221,294.2763
5.939995,-2.96521,-1.122366,296.521
5.959995,-2.986471,-1.063062,298.6472
5.979995,-3.006538,-1.003332,300.6538
5.999995,-3.025402,-0.9432015,302.5402
6.019995,-3.043056,-0.8826935,304.3056
6.039995,-3.059493,-0.8218324,305.9492
6.059995,-3.074705,-0.7606425,307.4706
6.079995,-3.088688,-0.6991484,308.8688
6.099995,-3.101436,-0.6373746,310.1436
6.119995,-3.112943,-0.5753459,311.2943
6.139995,-3.123205,-0.5130871,312.3205
6.159995,-3.132217,-0.450623,313.2217
6.179995,-3.139977,-0.3879787,313.9977
6.199995,-3.14648,-0.3251791,314.648
6.219995,-3.151725,-0.2622495,315.1725
6.239995,-3.15571,-0.199215,315.571
6.259995,-3.158432,-0.1361008,315.8431
6.279995,-3.15989,-0.07293221,315.989
6.299995,-3.160085,-0.009734406,316.0085
6.319995,-3.159016,0.05346729,315.9016
6.339995,-3.156683,0.1166476,315.6683
6.359995,-3.153087,0.1797812,315.3087
6.379995,-3.14823,0.242843,314.823
6.399995,-3.142114,0.3058076,314.2114
6.419995,-3.134741,0.3686499,313.4741
6.439995,-3.126114,0.4313447,312.6114
6.459995,-3.116237,0.493867,311.6237
6.479995,-3.105113,0.5561917,310.5113
6.499995,-3.092747,0.6182939,309.2747
6.519995,-3.079144,0.6801489,307.9144
6.539995,-3.064309,0.7417318,306.4309
6.559995,-3.048249,0.803018,304.8249
6.579995,-3.030969,0.863983,303.0969
6.599995,-3.012477,0.9246023,301.2477
6.619995,-2.99278,0.9848519,299.278
6.639995,-2.971886,1.044708,297.1886
6.659995,-2.949804,1.104145,294.9803
6.679995,-2.926541,1.163141,292.6541
6.699995,-2.902107,1.221672,290.2108
6.719995,-2.876513,1.279714,287.6513
6.739995,-2.849768,1.337245,284.9768
6.759995,-2.821884,1.39424,282.1884
6.779994,-2.79287,1.450678,279.287
6.799994,-2.762739,1.506535,276.274
6.819994,-2.731504,1.56179,273.1504
6.839994,-2.699175,1.61642,269.9175
6.859994,-2.665767,1.670403,266.5767
6.879994,-2.631293,1.723719,263.1293
6.899994,-2.595766,1.776345,259.5766
6.919994,-2.559201,1.82826,255.9201
6.939994,-2.521612,1.879444,252.1612
6.959994,-2.483014,1.929876,248.3014
6.979994,-2.443423,1.979536,244.3423
6.999994,-2.402855,2.028405,240.2855
7.019994,-2.361326,2.076462,236.1326
7.039994,-2.318852,2.123688,231.8852
7.059994,-2.275451,2.170065,227.5451
7.079994,-2.231139,2.215575,223.1139
7.099994,-2.185935,2.260197,218.5936
7.119994,-2.139857,2.303916,213.9857
7.139994,-2.092923,2.346713,209.2923
7.159994,-2.045151,2.388572,204.5152
7.179994,-1.996562,2.429475,199.6562
7.199994,-1.947174,2.469406,194.7174
7.219994,-1.897007,2.50835,189.7007
7.239994,-1.846081,2.54629,184.6081
7.259994,-1.794417,2.583211,179.4417
7.279994,-1.742035,2.6191,174.2035
7.299994,-1.688956,2.65394,168.8956
7.319994,-1.635202,2.68772,163.5202
7.339994,-1.580793,2.720424,158.0793
7.359994,-1.525752,2.75204,152.5752
7.379994,-1.470101,2.782555,147.0101
7.399994,-1.413862,2.811957,141.3862
7.419994,-1.357058,2.840234,135.7057
7.439994,-1.29971,2.867375,129.971
7.459994,-1.241843,2.893369,124.1843
7.479994,-1.183478,2.918206,118.3478
7.499994,-1.124641,2.941875,112.4641
7.519994,-1.065354,2.964368,106.5354
7.539994,-1.00564,2.985675,100.564
7.559994,-0.9455244,3.005788,94.55244
7.579994,-0.8850304,3.024698,88.50304
7.599994,-0.8241825,3.042399,82.41824
7.619994,-0.7630048,3.058883,76.30048
